QuestionId,Name of Cultural Heritage,Question,Answer,AvgScore
000103,Sungnyemun Gate,Who ordered the construction of Sungnyemun Gate?,King Taejo,90.0
000104,Sungnyemun Gate,What was the purpose of Sungnyemun Gate during the Joseon Dynasty?,To protect Seoul from invasion,76.67
000105,Sungnyemun Gate,What is the alternative name for Sungnyemun Gate?,Namdaemun,90.0
000209,Ten-story Stone Pagoda at Wongaksa Temple Site,What is the name of the temple site where this ten-story stone pagoda is located?,Wongaksa,86.67
000210,Ten-story Stone Pagoda at Wongaksa Temple Site,Who is believed to have built the Ten-story Stone Pagoda at Wongaksa Temple Site?,King Gyeongdeok,85.0
000211,Ten-story Stone Pagoda at Wongaksa Temple Site,What is the significance of the Godalsa Temple mentioned in the description?,It is the oldest known temple site in Korea.,36.67
000315,Monument on Bukhansan Mountain Commemorating the Border Inspection by King Jinheung of Silla,Who ordered the construction of the monument on Bukhansan Mountain?,King Jinheung,91.67
000316,Monument on Bukhansan Mountain Commemorating the Border Inspection by King Jinheung of Silla,What event does the monument commemorate?,Border inspection,86.67
000317,Monument on Bukhansan Mountain Commemorating the Border Inspection by King Jinheung of Silla,What dynasty did King Jinheung belong to?,Silla,70.0
000421,Stupa at Godalsa Temple Site,Who was the famous poet associated with the Godalsa Temple Site?,Choe Chi-won,73.33
000422,Stupa at Godalsa Temple Site,What was the purpose of the Godalsa Temple Site?,Meditation and worship,63.33
000423,Stupa at Godalsa Temple Site,What historical period does the Godalsa Temple Site belong to?,Silla Dynasty,80.0
000527,Twin Lion Stone Lantern of Beopjusa Temple,What is the name of the temple where this heritage is located?,Beopjusa Temple,66.67
000528,Twin Lion Stone Lantern of Beopjusa Temple,Who is believed to have established Beopjusa Temple?,Uisang,56.67
000529,Twin Lion Stone Lantern of Beopjusa Temple,What is the significance of the Twin Lion Stone Lantern in Korean cultural heritage?,It symbolizes the spread of Buddhism.,63.33
000633,Seven-story Stone Pagoda in Tappyeong-ri,Who built the Seven-story Stone Pagoda in Tappyeong-ri?,Unknown,80.0
000634,Seven-story Stone Pagoda in Tappyeong-ri,What is the significance of the seven stories in this heritage?,Represents the seven treasures of Buddhism,76.67
000635,Seven-story Stone Pagoda in Tappyeong-ri,What is the current state of preservation of this heritage?,Partially destroyed,76.67
000739,Stele for the Construction of Bongseonhonggyeongsa Temple,Who was the author of the inscription on the stele?,Choe Chi-won,91.67
000740,Stele for the Construction of Bongseonhonggyeongsa Temple,What was the purpose of the stele for the Construction of Bongseonhonggyeongsa Temple?,To pray for the prosperity of the state,80.0
000741,Stele for the Construction of Bongseonhonggyeongsa Temple,Where is the Godalsa Temple located?,"Chilgok, South Korea",36.67
000845,Stele of Buddhist Monk Nanghye at Seongjusa Temple Site,Who is depicted on the stele at Seongjusa Temple Site?,Buddhist Monk Nanghye,91.67
000846,Stele of Buddhist Monk Nanghye at Seongjusa Temple Site,What is the significance of the stele at Seongjusa Temple Site?,Commemoration of Nanghye's practice,85.0
000847,Stele of Buddhist Monk Nanghye at Seongjusa Temple Site,Where is the Seongjusa Temple Site located?,South Korea,53.33
000951,Five-story Stone Pagoda at Jeongnimsa Temple Site,Who was the prominent monk associated with Jeongnimsa Temple Site?,Uicheon,60.0
000952,Five-story Stone Pagoda at Jeongnimsa Temple Site,What was the function of the Five-story Stone Pagoda at Jeongnimsa Temple Site?,To enshrine Buddhist relics,76.67
001056,Three-story Stone Pagoda at Baekjangam Hermitage of Silsangsa Temple,Where is Baekjangam Hermitage located?,Silsangsa Temple,73.33
001057,Three-story Stone Pagoda at Baekjangam Hermitage of Silsangsa Temple,Who is credited with building the Three-story Stone Pagoda?,Doseon,85.0
001058,Three-story Stone Pagoda at Baekjangam Hermitage of Silsangsa Temple,What is the significance of Baekjangam Hermitage in Korean Buddhism?,It is a sacred place for meditation and prayer.,53.33
001162,Stone Pagoda at Mireuksa Temple Site,Who is believed to have built the Mireuksa Temple Site?,King Mu of Baekje,88.33
001163,Stone Pagoda at Mireuksa Temple Site,What is the significance of the Mireuksa Temple Site in Korean history?,It was a major Buddhist temple complex.,70.0
001164,Stone Pagoda at Mireuksa Temple Site,What is the name of the monk who is said to have established the Mireuksa Temple Site?,Jajang,91.67
001268,Stone Lantern at Gakhwangjeon Hall of Hwaeomsa Temple,Who is credited with the revival of the Hwaeomsa Temple in 1592?,Samyeongdang,63.33
001269,Stone Lantern at Gakhwangjeon Hall of Hwaeomsa Temple,What is the meaning of the inscription on the stele at the temple?,A wish for the reunification of Korea,53.33
001270,Stone Lantern at Gakhwangjeon Hall of Hwaeomsa Temple,What is the significance of the name 'Gakhwangjeon Hall'?,Hall of the Bright Light,73.33
001374,Geungnakbojeon Hall of Muwisa Temple,Who was the Korean monk known for the inscription on the stele?,Choe Chi-won,50.0
001375,Geungnakbojeon Hall of Muwisa Temple,What is the name of the temple where the Geungnakbojeon Hall is located?,Muwisa Temple,80.0
001376,Geungnakbojeon Hall of Muwisa Temple,What is the significance of the Geungnakbojeon Hall in Korean Buddhism?,It is dedicated to the Pure Land Buddha Amitabha.,66.67
001480,Yeongsanjeon Hall of Geojosa Temple,Who founded the Geojosa Temple?,Choe Chi-won,85.0
001481,Yeongsanjeon Hall of Geojosa Temple,When was the Yeongsanjeon Hall built?,1636,90.0
001482,Yeongsanjeon Hall of Geojosa Temple,What is the significance of the Yeongsanjeon Hall in Geojosa Temple?,"It houses the portrait of King Taejo, the founder of the Joseon Dynasty.",85.0
001586,Geungnakjeon Hall of Bongjeongsa Temple,Who is believed to have founded Bongjeongsa Temple?,Uisang,80.0
001587,Geungnakjeon Hall of Bongjeongsa Temple,What is the significance of Geungnakjeon Hall within Bongjeongsa Temple?,It is the main hall for Amitabha Buddha worship,85.0
001588,Geungnakjeon Hall of Bongjeongsa Temple,What is the name of the stele that stands in front of the Geungnakjeon Hall?,Godalsa Temple Stele,80.0
001692,Seven-story Brick Pagoda at Beopheungsa Temple Site,Where is the Seven-story Brick Pagoda located?,Beopheungsa Temple Site,86.67
001693,Seven-story Brick Pagoda at Beopheungsa Temple Site,Who is believed to have built the Seven-story Brick Pagoda?,King Munmu,80.0
001694,Seven-story Brick Pagoda at Beopheungsa Temple Site,What is the significance of the Seven-story Brick Pagoda at Beopheungsa Temple Site?,It is a national treasure of South Korea.,80.0
001798,Stone Lantern at Muryangsujeon Hall of Buseoksa Temple,Who is believed to have erected this heritage?,Choe Chi-won,73.33
001799,Stone Lantern at Muryangsujeon Hall of Buseoksa Temple,What is the name of the hall where this stone lantern is located?,Muryangsujeon Hall,83.33
0017100,Stone Lantern at Muryangsujeon Hall of Buseoksa Temple,In which temple is this heritage situated?,Buseoksa Temple,63.33
0018104,Muryangsujeon Hall of Buseoksa Temple,Who founded the Buseoksa Temple?,Uisang,83.33
0018105,Muryangsujeon Hall of Buseoksa Temple,What is the significance of the Muryangsujeon Hall within Buseoksa Temple?,It is the main prayer hall.,73.33
0019109,Josadang Shrine of Buseoksa Temple,Who is believed to have founded the Buseoksa Temple?,Uisang,90.0
0019110,Josadang Shrine of Buseoksa Temple,What is the significance of the Josadang Shrine within the Buseoksa Temple complex?,It houses the portrait of Choe Chi-won.,85.0
0020114,Dabotap Pagoda of Bulguksa Temple,Who was responsible for the reconstruction of the Dabotap Pagoda?,Kim Dae-seong,90.0
0020115,Dabotap Pagoda of Bulguksa Temple,What is the significance of the Dabotap Pagoda in Buddhist symbolism?,Represents the unity of Silla and Tang dynasties,73.33
0020116,Dabotap Pagoda of Bulguksa Temple,Where is the Dabotap Pagoda located within the Bulguksa Temple complex?,East of the main hall,80.0
0021120,Three-story Stone Pagoda of Bulguksa Temple,Who built the Three-story Stone Pagoda of Bulguksa Temple?,Unknown,80.0
0021121,Three-story Stone Pagoda of Bulguksa Temple,What is the significance of the Bulguksa Temple in Korean cultural heritage?,It is considered a masterpiece of Buddhist art and architecture.,70.0
0022125,Yeonhwagyo and Chilbogyo Bridges of Bulguksa Temple,What is the name of the temple where Yeonhwagyo and Chilbogyo Bridges are located?,Bulguksa,83.33
0022126,Yeonhwagyo and Chilbogyo Bridges of Bulguksa Temple,Who built the Bulguksa Temple?,Kim Daeseong,70.0
0022127,Yeonhwagyo and Chilbogyo Bridges of Bulguksa Temple,Which dynasty oversaw the construction of this heritage?,Silla,83.33
0023131,Cheongungyo and Baegungyo Bridges of Bulguksa Temple,What is the name of the temple where these bridges are located?,Bulguksa,63.33
0023132,Cheongungyo and Baegungyo Bridges of Bulguksa Temple,Who is believed to have built the Cheongungyo and Baegungyo Bridges?,Park Hyeokgeose,80.0
0023133,Cheongungyo and Baegungyo Bridges of Bulguksa Temple,What is the significance of the bridges in relation to the temple?,They represent the way to heaven in Buddhist belief.,81.67
0024137,Seokguram Grotto,Who is believed to have built Seokguram Grotto?,Kim Dae-seong,95.0
0024138,Seokguram Grotto,What religious figure is enshrined in Seokguram Grotto?,Buddha,86.67
0024139,Seokguram Grotto,What is the significance of Seokguram Grotto in Korean Buddhism?,It is considered a masterpiece of Buddhist art in Korea.,85.0
0025143,Stele of King Muyeol,Who was King Muyeol's father?,King Taejong Muyeol,73.33
0025144,Stele of King Muyeol,Where was the stele originally located?,Godalsa Temple,81.67
0025145,Stele of King Muyeol,What dynasty did King Muyeol rule?,Silla Dynasty,80.0
0026149,Gilt-bronze Seated Vairocana Buddha of Bulguksa Temple,What is the name of the temple where this heritage is located?,Bulguksa,80.0
0026150,Gilt-bronze Seated Vairocana Buddha of Bulguksa Temple,Who is believed to be represented by the seated Vairocana Buddha?,Buddha of Light,73.33
0026151,Gilt-bronze Seated Vairocana Buddha of Bulguksa Temple,What is the significance of the Vairocana Buddha in Korean Buddhism?,Central deity,66.67
0027155,Gilt-bronze Seated Amitabha Buddha of Bulguksa Temple,Who is the figure depicted in this heritage?,Amitabha Buddha,83.33
0027156,Gilt-bronze Seated Amitabha Buddha of Bulguksa Temple,Where is the Gilt-bronze Seated Amitabha Buddha located?,Bulguksa Temple,83.33
0027157,Gilt-bronze Seated Amitabha Buddha of Bulguksa Temple,What is the significance of Bulguksa Temple in Korean cultural heritage?,UNESCO World Heritage Site,63.33
0028161,Gilt-bronze Standing Bhaisajyaguru Buddha of Baengnyulsa Temple,Who is depicted in this heritage?,Bhaisajyaguru Buddha,80.0
0028162,Gilt-bronze Standing Bhaisajyaguru Buddha of Baengnyulsa Temple,Where is Baengnyulsa Temple located?,South Korea,60.0
0028163,Gilt-bronze Standing Bhaisajyaguru Buddha of Baengnyulsa Temple,What does the inscription on the stele praise?,The merits of the Godalsa Temple.,43.33
0029167,Sacred Bell of Great King Seongdeok,Who was the Great King Seongdeok?,Silla monarch,66.67
0029168,Sacred Bell of Great King Seongdeok,Where is the Sacred Bell of Great King Seongdeok currently located?,National Museum of Korea,80.0
0029169,Sacred Bell of Great King Seongdeok,What is the significance of the bell in Korean history?,Represents the peak of Silla art and technology.,66.67
0030173,Stone Brick Pagoda of Bunhwangsa Temple,Who founded the Bunhwangsa Temple?,Uija of Baekje,86.67
0030174,Stone Brick Pagoda of Bunhwangsa Temple,What is the significance of the Bunhwangsa Temple in Korean history?,It is one of the oldest temples in Korea.,70.0
0030175,Stone Brick Pagoda of Bunhwangsa Temple,What is the height of the Stone Brick Pagoda of Bunhwangsa Temple?,9.4 meters,76.67
0031179,Cheomseongdae Observatory,Who is believed to have designed Cheomseongdae Observatory?,Queen Seondeok,90.0
0031180,Cheomseongdae Observatory,What was the purpose of Cheomseongdae Observatory?,Astronomical observations,95.0
0031181,Cheomseongdae Observatory,In what country is Cheomseongdae Observatory located?,South Korea,53.33
0032185,Printing Woodblocks of the Tripitaka Koreana in Haeinsa Temple,Where are the Printing Woodblocks of the Tripitaka Koreana located?,Haeinsa Temple,90.0
0032186,Printing Woodblocks of the Tripitaka Koreana in Haeinsa Temple,How many characters are carved on each woodblock?,"Over 50,000",85.0
0032187,Printing Woodblocks of the Tripitaka Koreana in Haeinsa Temple,What is the significance of the Tripitaka Koreana in Korean culture?,It is a complete collection of Buddhist scriptures.,85.0
0033191,Monument in Changnyeong Commemorating the Border Expansion by King Jinheung of Silla,Who was the king who expanded the border commemorated by this monument?,King Jinheung,95.0
0033192,Monument in Changnyeong Commemorating the Border Expansion by King Jinheung of Silla,In which kingdom did King Jinheung rule?,Silla,80.0
0033193,Monument in Changnyeong Commemorating the Border Expansion by King Jinheung of Silla,What is the significance of the inscription on the stele at this heritage?,Commemorating border expansion.,85.0
0034197,East Three-story Stone Pagoda in Suljeong-ri,Who is believed to have built the East Three-story Stone Pagoda in Suljeong-ri?,Silla Kingdom,76.67
0034198,East Three-story Stone Pagoda in Suljeong-ri,What is the significance of the East Three-story Stone Pagoda in Suljeong-ri?,Represents the architecture of the Unified Silla period,70.0
0034199,East Three-story Stone Pagoda in Suljeong-ri,What is the current state of preservation of this heritage?,National treasure,40.0
0035203,Four Lion Three-story Stone Pagoda of Hwaeomsa Temple,Where is the Four Lion Three-story Stone Pagoda of Hwaeomsa Temple located?,Hwaeomsa Temple,76.67
0035204,Four Lion Three-story Stone Pagoda of Hwaeomsa Temple,Who is credited with the construction of this heritage?,Choe Chi-won,56.67
0035205,Four Lion Three-story Stone Pagoda of Hwaeomsa Temple,What is the significance of the inscription on the stele?,Composed a poem,50.0
0036209,Bronze Bell of Sangwonsa Temple,Who was responsible for casting the Bronze Bell of Sangwonsa Temple?,King Seongdeok,90.0
0036210,Bronze Bell of Sangwonsa Temple,What is the significance of the bell in the history of Korean Buddhism?,Symbol of unity and prayer revival,53.33
0036211,Bronze Bell of Sangwonsa Temple,Where is Sangwonsa Temple located?,"Goseong, South Korea",53.33
0037215,Three-story Stone Pagoda at Hwangboksa Temple Site,Who is believed to have built the Hwangboksa Temple?,King Mu of Baekje,88.33
0037216,Three-story Stone Pagoda at Hwangboksa Temple Site,Which dynasty did the Hwangboksa Temple belong to?,Baekje Dynasty,91.67
0037217,Three-story Stone Pagoda at Hwangboksa Temple Site,What is the significance of the Three-story Stone Pagoda?,Represents the connection between Baekje and Silla.,73.33
0038221,Three-story Stone Pagoda from Goseonsa Temple Site,What is the name of the temple site where this three-story stone pagoda is located?,Goseonsa Temple Site,86.67
0038222,Three-story Stone Pagoda from Goseonsa Temple Site,Who is believed to have built the Three-story Stone Pagoda from Goseonsa Temple Site?,Master Doseon,88.33
0038223,Three-story Stone Pagoda from Goseonsa Temple Site,What historical period does the Three-story Stone Pagoda from Goseonsa Temple Site date back to?,Unified Silla period,90.0
0039227,Five-story Stone Pagoda in Nawon-ri,Who is believed to have built the Five-story Stone Pagoda in Nawon-ri?,Kim Yusin,81.67
0039228,Five-story Stone Pagoda in Nawon-ri,What is the significance of the Godalsa Temple in Korean history?,It is a symbol of Silla dynasty Buddhism.,40.0
0039229,Five-story Stone Pagoda in Nawon-ri,What is the current state of preservation of the Five-story Stone Pagoda in Nawon-ri?,Partially damaged,81.67
0040233,Thirteen-story Stone Pagoda at Jeonghyesa Temple Site,Who is believed to have built the Thirteen-story Stone Pagoda at Jeonghyesa Temple Site?,Unified Silla Dynasty,85.0
