No,Classification,Name of Cultural Heritage,Korean,Address,,,,,,,
1,National Treasure,"Sungnyemun Gate, Seoul",서울 숭례문 ( 서울 崇禮門 ),Seoul Jung-gu,,,,,,,
2,National Treasure,"Ten-story Stone Pagoda at Wongaksa Temple Site, Seoul",서울 원각사지 십층석탑 ( 서울 圓覺寺址 十層石塔 ),Seoul Jongno-gu,,,,,,,
3,National Treasure,"Monument on Bukhansan Mountain Commemorating the Border Inspection by King Jinheung of Silla, Seoul",서울 북한산 신라 진흥왕 순수비 ( 서울 北漢山 新羅 眞興王 巡狩碑 ),Seoul Yongsan-gu,,,,,,,
4,National Treasure,"Stupa at Godalsa Temple Site, Yeoju",여주 고달사지 승탑 ( 驪州 高達寺址 僧塔 ),Gyeonggi-do Yeoju-si,,,,,,,
5,National Treasure,"Twin Lion Stone Lantern of Beopjusa Temple, Boeun",보은 법주사 쌍사자 석등 ( 報恩 法住寺 雙獅子 石燈 ),Chungcheongbuk-do Boeun-gun,,,,,,,
6,National Treasure,"Seven-story Stone Pagoda in Tappyeong-ri, Chungju",충주 탑평리 칠층석탑 ( 忠州 塔坪里 七層石塔 ),Chungcheongbuk-do Chungju-si,,,,,,,
7,National Treasure,"Stele for the Construction of Bongseonhonggyeongsa Temple, Cheonan",천안 봉선홍경사 갈기비 ( 天安 奉先弘慶寺 碣記碑 ),Chungcheongnam-do Cheonan-si,,,,,,,
8,National Treasure,"Stele of Buddhist Monk Nanghye at Seongjusa Temple Site, Boryeong",보령 성주사지 대낭혜화상탑비 ( 保寧 聖住寺址 大朗慧和尙塔碑 ),Chungcheongnam-do Boryeong-si,,,,,,,
9,National Treasure,"Five-story Stone Pagoda at Jeongnimsa Temple Site, Buyeo",부여 정림사지 오층석탑 ( 扶餘 定林寺址 五層石塔 ),Chungcheongnam-do Buyeo-gun,,,,,,,
10,National Treasure,"Three-story Stone Pagoda at Baekjangam Hermitage of Silsangsa Temple, Namwon",남원 실상사 백장암 삼층석탑 ( 南原 實相寺 百丈庵 三層石塔 ),Jeollabuk-do Namwon-si,,,,,,,
11,National Treasure,"Stone Pagoda at Mireuksa Temple Site, Iksan",익산 미륵사지 석탑 ( 益山 彌勒寺址 石塔 ),Jeollabuk-do Iksan-si,,,,,,,
12,National Treasure,"Stone Lantern at Gakhwangjeon Hall of Hwaeomsa Temple, Gurye",구례 화엄사 각황전 앞 석등 ( 求禮 華嚴寺 覺皇殿 앞 石燈 ),Jeollanam-do Gurye-gun,,,,,,,
13,National Treasure,"Geungnakbojeon Hall of Muwisa Temple, Gangjin",강진 무위사 극락보전 ( 康津 無爲寺 極樂寶殿 ),Jeollanam-do Gangjin-gun,,,,,,,
14,National Treasure,"Yeongsanjeon Hall of Geojosa Temple, Yeongcheon",영천 거조사 영산전 ( 永川 居祖寺 靈山殿 ),Gyeongsangbuk-do Yeongcheon-si,,,,,,,
15,National Treasure,"Geungnakjeon Hall of Bongjeongsa Temple, Andong",안동 봉정사 극락전 ( 安東 鳳停寺 極樂殿 ),Gyeongsangbuk-do Andong-si,,,,,,,
16,National Treasure,"Seven-story Brick Pagoda at Beopheungsa Temple Site, Andong",안동 법흥사지 칠층전탑 ( 安東 法興寺址 七層塼塔 ),Gyeongsangbuk-do Andong-si,,,,,,,
17,National Treasure,"Stone Lantern at Muryangsujeon Hall of Buseoksa Temple, Yeongju",영주 부석사 무량수전 앞 석등 ( 榮州 浮石寺 無量壽殿 앞 石燈 ),Gyeongsangbuk-do Yeongju-si,,,,,,,
18,National Treasure,"Muryangsujeon Hall of Buseoksa Temple, Yeongju",영주 부석사 무량수전 ( 榮州 浮石寺 無量壽殿 ),Gyeongsangbuk-do Yeongju-si,,,,,,,
19,National Treasure,"Josadang Shrine of Buseoksa Temple, Yeongju",영주 부석사 조사당 ( 榮州 浮石寺 祖師堂 ),Gyeongsangbuk-do Yeongju-si,,,,,,,
20,National Treasure,"Dabotap Pagoda of Bulguksa Temple, Gyeongju",경주 불국사 다보탑 ( 慶州 佛國寺 多寶塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
21,National Treasure,"Three-story Stone Pagoda of Bulguksa Temple, Gyeongju",경주 불국사 삼층석탑 ( 慶州 佛國寺 三層石塔 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
22,National Treasure,"Yeonhwagyo and Chilbogyo Bridges of Bulguksa Temple, Gyeongju",경주 불국사 연화교 및 칠보교 ( 慶州 佛國寺 蓮華橋 및 七寶橋 ),Gyeongsangbuk-do Gyeongju-si,,,,,,,
