No,Classification,Name of Cultural Heritage,Korean,ccebAsno,heritage_url,img
1,National Treasure,"Sungnyemun Gate, Seoul",서울 숭례문 ( 서울 崇禮門 ),00010000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00010000&sCcebCtcd=11&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Sungnyemun+Gate,+Seoul",newdataset/newdata/1/1.jpg
2,National Treasure,"Ten-story Stone Pagoda at Wongaksa Temple Site, Seoul",서울 원각사지 십층석탑 ( 서울 圓覺寺址 十層石塔 ),00020000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00020000&sCcebCtcd=11&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Ten-story+Stone+Pagoda+at+Wongaksa+Temple+Site,+Seoul",newdataset/newdata/2/2.jpg
3,National Treasure,"Monument on Bukhansan Mountain Commemorating the Border Inspection by King Jinheung of Silla, Seoul",서울 북한산 신라 진흥왕 순수비 ( 서울 北漢山 新羅 眞興王 巡狩碑 ),00030000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00030000&sCcebCtcd=11&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Monument+on+Bukhansan+Mountain+Commemorating+the+Border+Inspection+by+King+Jinheung+of+Silla,+Seoul",newdataset/newdata/3/3.jpg
4,National Treasure,"Stupa at Godalsa Temple Site, Yeoju",여주 고달사지 승탑 ( 驪州 高達寺址 僧塔 ),00040000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00040000&sCcebCtcd=31&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Stupa+at+Godalsa+Temple+Site,+Yeoju",newdataset/newdata/4/4.jpg
5,National Treasure,"Twin Lion Stone Lantern of Beopjusa Temple, Boeun",보은 법주사 쌍사자 석등 ( 報恩 法住寺 雙獅子 石燈 ),00050000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00050000&sCcebCtcd=33&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Twin+Lion+Stone+Lantern+of+Beopjusa+Temple,+Boeun",newdataset/newdata/5/5.jpg
6,National Treasure,"Seven-story Stone Pagoda in Tappyeong-ri, Chungju",충주 탑평리 칠층석탑 ( 忠州 塔坪里 七層石塔 ),00060000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00060000&sCcebCtcd=33&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Seven-story+Stone+Pagoda+in+Tappyeong-ri,+Chungju",newdataset/newdata/6/6.jpg
7,National Treasure,"Stele for the Construction of Bongseonhonggyeongsa Temple, Cheonan",천안 봉선홍경사 갈기비 ( 天安 奉先弘慶寺 碣記碑 ),00070000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00070000&sCcebCtcd=34&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Stele+for+the+Construction+of+Bongseonhonggyeongsa+Temple,+Cheonan",newdataset/newdata/7/7.jpg
8,National Treasure,"Stele of Buddhist Monk Nanghye at Seongjusa Temple Site, Boryeong",보령 성주사지 대낭혜화상탑비 ( 保寧 聖住寺址 大朗慧和尙塔碑 ),00080000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00080000&sCcebCtcd=34&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Stele+of+Buddhist+Monk+Nanghye+at+Seongjusa+Temple+Site,+Boryeong",newdataset/newdata/8/8.jpg
9,National Treasure,"Five-story Stone Pagoda at Jeongnimsa Temple Site, Buyeo",부여 정림사지 오층석탑 ( 扶餘 定林寺址 五層石塔 ),00090000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00090000&sCcebCtcd=34&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Five-story+Stone+Pagoda+at+Jeongnimsa+Temple+Site,+Buyeo",newdataset/newdata/9/9.jpg
10,National Treasure,"Three-story Stone Pagoda at Baekjangam Hermitage of Silsangsa Temple, Namwon",남원 실상사 백장암 삼층석탑 ( 南原 實相寺 百丈庵 三層石塔 ),00100000,"https://english.khs.go.kr/chaen/search/selectGeneralSearchDetail.do?mn=EN_02_02&sCcebKdcd=11&ccebAsno=00100000&sCcebCtcd=35&pageIndex=1&region=&canAsset=&ccebPcd1=&searchWrd=Three-story+Stone+Pagoda+at+Baekjangam+Hermitage+of+Silsangsa+Temple,+Namwon",newdataset/newdata/10/10.jpg
